geo,2002_hdi,2003_hdi,2004_hdi,2005_hdi,2006_hdi,2007_hdi,2002_internet,2003_internet,2004_internet,2005_internet,2006_internet,2007_internet,2002_carros,2003_carros,2004_carros,2005_carros,2006_carros,2007_carros
China,0.61,0.622,0.634,0.646,0.659,0.672,4.6,6.2,7.3,8.52,10.5,16.0,13.0,15.0,21.0,24.0,28.1,32.2
Croatia,0.765,0.771,0.777,0.783,0.793,0.8,17.8,22.8,30.9,33.1,38.0,41.4,313.0,356.0,337.0,349.0,366.0,377.0
France,0.852,0.857,0.86,0.87,0.873,0.877,30.2,36.1,39.1,42.9,46.9,66.1,593.0,594.0,595.0,596.0,598.0,601.0
Germany,0.872,0.877,0.884,0.892,0.898,0.903,48.8,55.9,64.7,68.7,72.2,75.2,576.0,576.0,580.0,585.0,598.0,623.0
Greece,0.823,0.83,0.839,0.85,0.855,0.853,14.7,17.8,21.4,24.0,32.3,35.9,435.0,453.0,476.0,497.0,522.0,112.0
Kazakhstan,0.714,0.725,0.737,0.747,0.754,0.758,1.67,2.0,2.65,2.96,3.27,4.02,90.0,96.0,100.0,116.0,139.0,170.0
Latvia,0.761,0.776,0.791,0.807,0.814,0.819,21.9,27.0,38.6,46.0,53.6,59.2,339.0,329.0,348.0,377.0,415.0,459.0
Lithuania,0.78,0.792,0.798,0.807,0.812,0.82,17.7,25.9,31.2,36.2,43.9,49.9,375.0,401.0,421.0,467.0,513.0,479.0
Mexico,0.708,0.714,0.719,0.723,0.731,0.735,11.9,12.9,14.1,17.2,19.5,20.8,194.0,203.0,200.0,208.0,222.0,244.0
New Zealand,0.881,0.884,0.886,0.888,0.891,0.894,59.1,61.0,61.8,62.7,69.0,69.8,738.0,681.0,701.0,720.0,722.0,729.0
Poland,0.796,0.8,0.797,0.803,0.808,0.813,21.1,24.9,32.5,38.8,44.6,48.6,347.0,357.0,386.0,386.0,416.0,451.0
Singapore,0.819,0.82,0.821,0.839,0.873,0.88,47.0,53.8,62.0,61.0,59.0,69.9,133.0,133.0,134.0,137.0,141.0,149.0
Slovenia,0.843,0.85,0.853,0.858,0.865,0.869,27.8,31.9,40.8,46.8,54.0,56.7,484.0,492.0,505.0,518.0,531.0,547.0
South Korea,0.835,0.843,0.852,0.86,0.867,0.873,59.4,65.5,72.7,73.5,78.1,78.8,293.0,303.0,311.0,319.0,328.0,338.0
Switzerland,0.889,0.895,0.899,0.904,0.911,0.914,61.4,65.1,67.8,70.1,75.7,77.2,550.0,554.0,559.0,563.0,564.0,569.0
Syria,0.599,0.61,0.624,0.636,0.644,0.651,2.09,3.4,4.32,5.65,7.83,11.5,34.7,36.2,37.6,42.5,47.9,51.5
Turkey,0.668,0.675,0.681,0.687,0.697,0.705,11.4,12.3,14.6,15.5,18.2,28.6,90.0,91.0,108.0,117.0,124.0,131.0
